step,cut_name,cut_expression,count,efficiency_absolute,efficiency_relative
1,All events,1,23057,100.0,100.0
2,nFatJet >= 2,nFatJet >= 2,23057,100.0,100.0
3,">=2 jets (pT>30, |eta|<2.4)",SelectedJets_pt.size() >= 2,23045,99.94795506787526,99.94795506787526
4,>=2 FatJets |eta|<2.4,SelectedFatJets_pt.size() >= 2,22819,98.96777551285943,99.01931004556303
5,Signal Trigger,Combo,16064,69.67081580431106,70.39747578772075
6,ParticleNet filter,(FatJet_particleNet_XbbVsQCD[0] > 0.9 or FatJet_particleNet_XttVsQCD[0] > 0.9) and(FatJet_particleNet_XbbVsQCD[1] > 0.9 or FatJet_particleNet_XttVsQCD[1] > 0.9),5769,25.02060111896604,35.91259960159363
7,1st pT > 300,HighestPt > 300,5477,23.754174437264172,94.93846420523488
8,2nd pT > 250,SecondHighestPt > 250,316,1.370516545951338,5.769581887894833
9,2nd mass > 30,SecondHighestMass > 30,316,1.370516545951338,100.0
10,1st mass > 30,HighestMass > 30,316,1.370516545951338,100.0
